timestamp,observatory,obs_ra,obs_dec
2025-12-20 00:08:53.00,C23,10 42 32.822,+07 23 50.46
2025-12-20 00:19:39.96,C23,10 42 30.684,+07 24 00.90
2025-12-20 01:30:59.27,Z92,10 42 16.76,+07 25 11.6
2025-12-20 01:46:10.88,Z92,10 42 13.72,+07 25 26.4
2025-12-20 02:00:31.42,Z92,10 42 10.95,+07 25 41.1
2025-12-20 08:48:40.98,W50,10 40 50.892,+07 32 23.86
2025-12-20 08:49:26.00,W50,10 40 50.738,+07 32 24.58
2025-12-20 08:50:23.97,W50,10 40 50.554,+07 32 25.51
2025-12-20 08:51:08.04,W50,10 40 50.407,+07 32 26.66
2025-12-20 08:51:52.96,W50,10 40 50.256,+07 32 27.06
2025-12-20 08:52:51.02,W50,10 40 50.083,+07 32 28.03
2025-12-20 08:53:36.04,W50,10 40 49.925,+07 32 28.79
2025-12-20 08:54:20.02,W50,10 40 49.769,+07 32 29.36
2025-12-20 08:55:17.99,W50,10 40 49.591,+07 32 30.26
2025-12-20 08:56:03.00,W50,10 40 49.445,+07 32 30.98
2025-12-20 08:56:46.98,W50,10 40 49.294,+07 32 31.96
2025-12-20 08:57:44.96,W50,10 40 49.106,+07 32 32.75
2025-12-20 08:58:29.97,W50,10 40 48.958,+07 32 33.68
2025-12-20 08:59:14.04,W50,10 40 48.823,+07 32 34.30
2025-12-20 09:02:49.00,W50,10 40 48.058,+07 32 38.22
2025-12-20 09:03:34.01,W50,10 40 47.964,+07 32 38.76
2025-12-20 09:04:19.98,W50,10 40 47.808,+07 32 40.52
2025-12-20 09:08:27.00,W50,10 40 46.990,+07 32 43.48
2025-12-20 09:09:21.00,W50,10 40 46.814,+07 32 44.16
2025-12-20 09:10:15.00,W50,10 40 46.649,+07 32 45.24
2025-12-20 09:11:29.99,W50,10 40 46.390,+07 32 46.39
2025-12-20 09:12:23.99,W50,10 40 46.207,+07 32 47.15
2025-12-20 09:13:17.04,W50,10 40 46.034,+07 32 48.23
2025-12-20 09:17:11.96,W50,10 40 45.262,+07 32 52.08
2025-12-20 09:18:31.97,W50,10 40 45.012,+07 32 53.23
2025-12-20 09:19:25.97,W50,10 40 44.834,+07 32 54.42
2025-12-20 09:23:22.01,W50,10 40 44.054,+07 32 58.09
2025-12-21 03:12:55.87,C82,10 37 13.66,+07 50 31.5
2025-12-21 03:14:46.46,C82,10 37 13.29,+07 50 33.3
2025-12-21 03:16:55.20,C82,10 37 12.86,+07 50 35.3
2025-12-21 03:22:26.98,C82,10 37 11.77,+07 50 40.7
2025-12-21 03:29:51.07,C82,10 37 10.30,+07 50 48.0
2025-12-21 03:59:29.96,D68,10 37 04.411,+07 51 16.56
2025-12-21 04:16:00.97,D68,10 37 01.133,+07 51 32.98
2025-12-21 04:34:10.99,D68,10 36 57.506,+07 51 51.16
2025-12-21 08:38:20.98,V21,10 36 09.602,+07 55 52.10
2025-12-21 08:59:25.96,V21,10 36 05.405,+07 56 12.70
2025-12-21 09:20:26.97,V21,10 36 01.238,+07 56 33.11
2025-12-21 09:41:29.01,V21,10 35 57.070,+07 56 54.13
2025-12-21 10:02:28.98,V21,10 35 52.906,+07 57 14.87
2025-12-21 10:03:21.95,703,10 35 52.969,+07 57 14.87
2025-12-21 10:06:39.28,703,10 35 52.382,+07 57 17.93
2025-12-21 10:09:56.71,703,10 35 51.688,+07 57 21.31
2025-12-21 10:13:14.13,703,10 35 51.022,+07 57 24.59
2025-12-21 20:13:45.00,Q14,10 33 51.758,+08 07 15.38
2025-12-21 20:22:59.00,Q14,10 33 49.932,+08 07 24.46
2025-12-21 23:16:18.97,B72,10 33 15.839,+08 10 13.08
2025-12-22 00:39:32.03,B72,10 32 59.312,+08 11 35.24
2025-12-22 01:11:21.03,B72,10 32 52.980,+08 12 06.53
2025-12-22 01:26:53.03,B72,10 32 49.889,+08 12 21.84
2025-12-22 01:44:15.01,B72,10 32 46.430,+08 12 38.87
2025-12-22 09:49:22.66,U94,10 31 10.10,+08 20 36.1
2025-12-22 09:55:36.77,U94,10 31 08.90,+08 20 41.9
2025-12-22 10:01:50.02,U94,10 31 07.64,+08 20 47.9
2025-12-22 10:08:04.99,U94,10 31 06.38,+08 20 53.9
2025-12-22 16:44:22.96,Q21,10 29 47.599,+08 27 22.23
2025-12-22 16:49:27.00,Q21,10 29 46.577,+08 27 27.06
2025-12-22 16:54:30.96,Q21,10 29 45.573,+08 27 32.02
2025-12-22 16:59:33.96,Q21,10 29 44.566,+08 27 37.21
2025-12-22 21:41:06.98,M73,10 28 48.571,+08 32 13.56
2025-12-22 21:48:32.03,M73,10 28 47.066,+08 32 21.12
2025-12-22 21:56:21.00,M73,10 28 45.514,+08 32 28.57
2025-12-22 22:03:24.02,M73,10 28 44.105,+08 32 35.63
2025-12-22 22:10:29.97,M73,10 28 42.679,+08 32 42.54
2025-12-23 02:24:07.86,R17,10 27 52.140,+08 36 50.11
2025-12-23 02:44:30.85,R17,10 27 48.055,+08 37 09.95
2025-12-23 03:04:53.59,R17,10 27 43.975,+08 37 29.93
2025-12-23 03:25:15.89,R17,10 27 39.893,+08 37 49.98
