timestamp,observatory,obs_ra,obs_dec
2025-12-19 0:10:29,B67,104713.073,+07 00 13.39
2025-12-19 0:12:51,B67,104712.619,+07 00 15.70
2025-12-19 0:15:12,B67,104712.146,+07 00 18.29
2025-12-19 0:37:56,D69,104707.68,+07 00 40.32
2025-12-19 1:43:00,D69,104655.022,+07 01 44.33
2025-12-19 1:54:35,213,104652.819,+07 01 56.46
2025-12-19 2:09:33,B74,104649.888,+07 02 10.72
2025-12-19 2:12:34,B74,104649.313,+07 02 13.62
2025-12-19 2:30:46,B74,104645.745,+07 02 31.73
2025-12-19 2:37:21,D69,104644.441,+07 02 37.75
2025-12-19 3:02:36,I81,104639.547,+07 03 02.20
2025-12-19 3:06:39,I81,104638.731,+07 03 06.30
2025-12-19 3:10:43,I81,104637.949,+07 03 09.76
2025-12-19 3:23:14,213,104635.52,+07 03 23.94
2025-12-19 3:24:05,L85,104635.306,+07 03 23.88
2025-12-19 3:51:05,L85,104630.055,+07 03 50.53
2025-12-19 4:07:20,215,104626.885,+07 04 06.57
2025-12-19 4:12:17,215,104625.926,+07 04 11.24
2025-12-19 4:15:46,L85,104625.181,+07 04 15.17
2025-12-19 4:17:13,215,104624.949,+07 04 16.52
2025-12-19 4:51:29,213,104618.274,+07 04 50.88
2025-12-19 5:18:01,J13,104613.206,+07 05 17.63
2025-12-19 5:32:22,J13,104610.413,+07 05 31.66
2025-12-19 10:46:25,U76,104509.386,+07 10 40.69
2025-12-19 11:48:20,U76,104457.252,+07 11 41.86
2025-12-19 12:08:26,V16,104453.286,+07 12 02.02
2025-12-19 12:14:01,V16,104452.175,+07 12 07.55
2025-12-19 12:21:03,V16,104450.781,+07 12 14.55
2025-12-19 12:28:10,V16,104449.416,+07 12 21.38
2025-12-19 12:53:00,U76,104444.594,+07 12 45.61
2025-12-19 12:57:51,290,104443.62,+07 12 50.2
2025-12-19 12:59:50,290,104443.24,+07 12 52.2
2025-12-19 13:01:01,290,104443,+07 12 53.4
2025-12-19 13:08:01,290,104441.63,+07 13 00.2
2025-12-19 13:08:33,290,104441.51,+07 13 00.8
2025-12-19 13:09:06,290,104441.41,+07 13 01.2
2025-12-19 13:09:38,290,104441.32,+07 13 01.9
2025-12-19 13:10:11,290,104441.2,+07 13 02.3
2025-12-19 23:37:38,C23,104238.938,+07 23 19.46
2025-12-19 23:47:20,C23,104237.042,+07 23 28.86
2025-12-19 23:58:06,C23,104234.915,+07 23 39.84
2025-12-20 0:08:53,C23,104232.822,+07 23 50.46
2025-12-20 0:19:40,C23,104230.684,+07 24 00.90
2025-12-20 1:30:59,Z92,104216.76,+07 25 11.6
2025-12-20 1:46:11,Z92,104213.72,+07 25 26.4
2025-12-20 2:00:31,Z92,104210.95,+07 25 41.1
2025-12-20 8:48:41,W50,104050.892,+07 32 23.86
2025-12-20 8:49:26,W50,104050.738,+07 32 24.58
2025-12-20 8:50:24,W50,104050.554,+07 32 25.51
2025-12-20 8:51:08,W50,104050.407,+07 32 26.66
2025-12-20 8:51:53,W50,104050.256,+07 32 27.06
2025-12-20 8:52:51,W50,104050.083,+07 32 28.03
2025-12-20 8:53:36,W50,104049.925,+07 32 28.79
2025-12-20 8:54:20,W50,104049.769,+07 32 29.36
2025-12-20 8:55:18,W50,104049.591,+07 32 30.26
2025-12-20 8:56:03,W50,104049.445,+07 32 30.98
2025-12-20 8:56:47,W50,104049.294,+07 32 31.96
2025-12-20 8:57:45,W50,104049.106,+07 32 32.75
2025-12-20 8:58:30,W50,104048.958,+07 32 33.68
2025-12-20 8:59:14,W50,104048.823,+07 32 34.30
2025-12-20 9:02:49,W50,104048.058,+07 32 38.22
2025-12-20 9:03:34,W50,104047.964,+07 32 38.76
2025-12-20 9:04:20,W50,104047.808,+07 32 40.52
2025-12-20 9:08:27,W50,104046.99,+07 32 43.48
2025-12-20 9:09:21,W50,104046.814,+07 32 44.16
2025-12-20 9:10:15,W50,104046.649,+07 32 45.24
2025-12-20 9:11:30,W50,104046.39,+07 32 46.39
2025-12-20 9:12:24,W50,104046.207,+07 32 47.15
2025-12-20 9:13:17,W50,104046.034,+07 32 48.23
2025-12-20 9:17:12,W50,104045.262,+07 32 52.08
2025-12-20 9:18:32,W50,104045.012,+07 32 53.23
2025-12-20 9:19:26,W50,104044.834,+07 32 54.42
2025-12-20 9:23:22,W50,104044.054,+07 32 58.09
2025-12-21 3:12:56,C82,103713.66,+07 50 31.5
2025-12-21 3:14:46,C82,103713.29,+07 50 33.3
2025-12-21 3:16:55,C82,103712.86,+07 50 35.3
2025-12-21 3:22:27,C82,103711.77,+07 50 40.7
2025-12-21 3:29:51,C82,103710.3,+07 50 48.0
2025-12-21 3:59:30,D68,103704.411,+07 51 16.56
2025-12-21 4:16:01,D68,103701.133,+07 51 32.98
2025-12-21 4:34:11,D68,103657.506,+07 51 51.16
2025-12-21 8:38:21,V21,103609.602,+07 55 52.10
2025-12-21 8:59:26,V21,103605.405,+07 56 12.70
2025-12-21 9:20:27,V21,103601.238,+07 56 33.11
2025-12-21 9:41:29,V21,103557.07,+07 56 54.13
2025-12-21 10:02:29,V21,103552.906,+07 57 14.87
2025-12-21 10:03:22,703,103552.969,+07 57 14.87
2025-12-21 10:06:39,703,103552.382,+07 57 17.93
2025-12-21 10:09:57,703,103551.688,+07 57 21.31
2025-12-21 10:13:14,703,103551.022,+07 57 24.59
2025-12-21 20:13:45,Q14,103351.758,+08 07 15.38
2025-12-21 20:22:59,Q14,103349.932,+08 07 24.46
2025-12-21 23:16:19,B72,103315.839,+08 10 13.08
